datetime,open,high,low,close,volume
2024-01-22 15:59:00,193.85001,193.89999,193.73000,193.87000,750800
2024-01-22 15:58:00,193.82001,193.88000,193.81000,193.84000,391787
2024-01-22 15:57:00,193.67000,193.82001,193.63040,193.81500,305952
2024-01-22 15:56:00,193.81500,193.84000,193.65500,193.66000,250295
2024-01-22 15:55:00,193.64999,193.83501,193.64999,193.82001,248326
2024-01-22 15:54:00,193.64500,193.84000,193.62000,193.64000,349512
2024-01-22 15:53:00,193.71500,193.73000,193.58501,193.64999,175004
2024-01-22 15:52:00,193.70000,193.74001,193.62000,193.71001,164628
2024-01-22 15:51:00,193.70000,193.78500,193.67000,193.70000,183253
2024-01-22 15:50:00,193.53999,193.71001,193.46001,193.66499,245044
2024-01-22 15:49:00,193.56000,193.67000,193.53011,193.55000,133046
2024-01-22 15:48:00,193.54500,193.60001,193.52499,193.55499,120048
2024-01-22 15:47:00,193.53999,193.58990,193.52000,193.54590,85239
2024-01-22 15:46:00,193.62000,193.64999,193.52000,193.54500,134737
2024-01-22 15:45:00,193.72000,193.72000,193.61000,193.62000,126684
2024-01-22 15:44:00,193.72940,193.78000,193.72000,193.72000,49464
2024-01-22 15:43:00,193.72501,193.78000,193.65010,193.72501,81566
2024-01-22 15:42:00,193.75500,193.75999,193.67000,193.72000,88066
2024-01-22 15:41:00,193.80499,193.82001,193.75000,193.75880,49927
2024-01-22 15:40:00,193.78000,193.84500,193.74500,193.80499,93805
2024-01-22 15:39:00,193.84000,193.84000,193.73000,193.78000,73687
2024-01-22 15:38:00,193.87350,193.90010,193.83000,193.83000,46460
2024-01-22 15:37:00,193.88989,193.91991,193.83501,193.87331,64264
2024-01-22 15:36:00,193.89999,193.89999,193.84000,193.88000,51446
2024-01-22 15:35:00,193.74001,193.92000,193.69000,193.89999,131174
2024-01-22 15:34:00,193.78250,193.78250,193.69000,193.73000,81859
2024-01-22 15:33:00,193.70000,193.79539,193.69000,193.78000,76166
2024-01-22 15:32:00,193.73000,193.76990,193.69000,193.69501,85857
2024-01-22 15:31:00,193.84500,193.84500,193.69000,193.73199,161313
2024-01-22 15:30:00,193.89999,193.91010,193.82001,193.84500,82788
2024-01-22 15:29:00,193.83501,193.94099,193.82500,193.90010,91076
2024-01-22 15:28:00,193.78000,193.84500,193.75999,193.83141,98760
2024-01-22 15:27:00,193.82500,193.84770,193.78000,193.78500,78703
2024-01-22 15:26:00,193.88000,193.95000,193.82001,193.84500,106552
2024-01-22 15:25:00,193.85001,193.89500,193.83200,193.88499,51426
2024-01-22 15:24:00,193.82401,193.85840,193.80360,193.85840,50246
2024-01-22 15:23:00,193.81390,193.86000,193.78999,193.82500,62389
2024-01-22 15:22:00,193.78999,193.82001,193.71500,193.81500,60746
2024-01-22 15:21:00,193.78999,193.80000,193.78500,193.78999,55301
2024-01-22 15:20:00,193.74001,193.80000,193.70500,193.79500,107866
2024-01-22 15:19:00,193.83000,193.83000,193.72000,193.74400,92458
2024-01-22 15:18:00,193.88600,193.89999,193.81000,193.83430,68396
2024-01-22 15:17:00,193.89999,193.93010,193.87000,193.88000,76053
2024-01-22 15:16:00,193.98010,193.99001,193.89000,193.89990,83534
2024-01-22 15:15:00,194.02229,194.03000,193.98000,193.98190,94578
2024-01-22 15:14:00,194.08299,194.10809,194.02000,194.02730,62157
2024-01-22 15:13:00,193.97000,194.09000,193.93250,194.08740,59743
2024-01-22 15:12:00,194.03999,194.07001,193.95010,193.96001,64099
2024-01-22 15:11:00,194.05000,194.10001,194.03000,194.05000,61680
2024-01-22 15:10:00,193.97501,194.06000,193.96021,194.05000,90900
2024-01-22 15:09:00,193.95840,193.99500,193.92020,193.97501,85682
2024-01-22 15:08:00,193.92000,193.96001,193.86000,193.93500,70214
2024-01-22 15:07:00,193.87000,193.97990,193.85001,193.92490,63922
2024-01-22 15:06:00,193.92500,193.94501,193.86000,193.86501,75196
2024-01-22 15:05:00,193.97501,193.97501,193.89000,193.92010,54829
2024-01-22 15:04:00,193.86000,194.00000,193.86000,193.98000,74582
2024-01-22 15:03:00,193.94000,193.94501,193.84100,193.86000,116079
2024-01-22 15:02:00,193.97189,193.98000,193.89999,193.93500,68158
2024-01-22 15:01:00,194.03720,194.03720,193.95000,193.98000,65511
2024-01-22 15:00:00,194.08000,194.10001,194.03000,194.04500,47320
2024-01-22 14:59:00,194.07001,194.10001,194.05000,194.08000,48260
2024-01-22 14:58:00,194.02010,194.09500,194.02010,194.06180,44529
2024-01-22 14:57:00,194.05499,194.05499,194.00200,194.02499,42616
2024-01-22 14:56:00,193.97000,194.07001,193.95000,194.06000,64640
2024-01-22 14:55:00,193.99030,194.00000,193.95000,193.98000,58319
2024-01-22 14:54:00,193.97000,194.00999,193.94009,193.99500,74478
2024-01-22 14:53:00,194.08501,194.10001,193.95000,193.97000,76125
2024-01-22 14:52:00,194.07500,194.09399,194.00000,194.08000,69663
2024-01-22 14:51:00,194.06000,194.10001,194.04250,194.08000,40744
2024-01-22 14:50:00,194.12000,194.12000,194.04100,194.05521,65401
2024-01-22 14:49:00,194.07990,194.13000,194.07500,194.12000,64570
